#WEBOTS_MOTION,V1.0,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,Pose1,0,0,-0.611,1.222,-0.611,0,0,0,-0.611,1.222,-0.611,0
0.08,Pose2,0,0,-0.608,1.215,-0.608,0,0,0,-0.608,1.215,-0.608,0
0.16,Pose3,0,0,-0.572,1.144,-0.572,0,0,0,-0.572,1.144,-0.572,0
0.24,Pose4,0,0,-0.543,1.086,-0.543,0,0,0,-0.543,1.086,-0.543,0
0.32,Pose5,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.4,Pose6,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.48,Pose7,0,0,-0.525,1.05,-0.525,0,0,0,-0.525,1.05,-0.525,0
0.56,Pose8,0,-0.001,-0.525,1.05,-0.525,0.001,0,-0.001,-0.525,1.05,-0.525,0.001
0.64,Pose9,0,-0.003,-0.524,1.05,-0.525,0.003,0,-0.003,-0.524,1.05,-0.525,0.003
0.72,Pose10,0,-0.004,-0.524,1.05,-0.525,0.004,0,-0.004,-0.524,1.05,-0.525,0.004
0.8,Pose11,0,-0.008,-0.524,1.049,-0.526,0.008,0,-0.008,-0.524,1.049,-0.526,0.008
0.88,Pose12,0,-0.01,-0.523,1.049,-0.526,0.01,0,-0.01,-0.523,1.049,-0.526,0.01
0.96,Pose13,0,-0.014,-0.522,1.049,-0.527,0.014,0,-0.014,-0.522,1.049,-0.527,0.014
1.04,Pose14,0,-0.021,-0.521,1.048,-0.527,0.021,0,-0.021,-0.521,1.048,-0.527,0.021
1.12,Pose15,0,-0.027,-0.52,1.048,-0.528,0.027,0,-0.027,-0.52,1.048,-0.528,0.027
1.2,Pose16,0,-0.034,-0.518,1.047,-0.529,0.034,0,-0.034,-0.518,1.047,-0.529,0.034
1.28,Pose17,0,-0.044,-0.516,1.045,-0.53,0.044,0,-0.044,-0.516,1.045,-0.53,0.044
1.36,Pose18,0,-0.063,-0.51,1.041,-0.531,0.063,0,-0.063,-0.51,1.041,-0.531,0.063
1.44,Pose19,0,-0.08,-0.505,1.036,-0.531,0.08,0,-0.08,-0.505,1.036,-0.531,0.08
1.52,Pose20,0,-0.101,-0.498,1.029,-0.531,0.101,0,-0.101,-0.498,1.029,-0.531,0.101
1.6,Pose21,0,-0.136,-0.482,1.013,-0.531,0.136,0,-0.136,-0.482,1.013,-0.531,0.136
1.68,Pose22,0,-0.157,-0.468,0.999,-0.531,0.157,0,-0.157,-0.468,0.999,-0.531,0.157
1.76,Pose23,0,-0.173,-0.454,0.987,-0.533,0.173,0,-0.174,-0.459,0.996,-0.537,0.174
1.84,Pose24,0,-0.15,-0.44,0.984,-0.544,0.19,0,-0.197,-0.52,1.119,-0.599,0.197
1.92,Pose25,0,-0.144,-0.442,0.999,-0.557,0.196,0,-0.211,-0.605,1.244,-0.639,0.211
2,Pose26,0,-0.146,-0.452,1.033,-0.582,0.198,0,-0.223,-0.743,1.374,-0.631,0.223
2.08,Pose27,0,-0.142,-0.454,1.051,-0.597,0.195,0,-0.219,-0.803,1.378,-0.575,0.219
2.16,Pose28,0,-0.134,-0.447,1.056,-0.609,0.187,0,-0.205,-0.815,1.313,-0.498,0.205
2.24,Pose29,0,-0.121,-0.427,1.045,-0.618,0.174,0,-0.184,-0.777,1.202,-0.425,0.184
2.32,Pose30,0,-0.128,-0.379,1.011,-0.632,0.145,0,-0.147,-0.678,1.037,-0.36,0.147
2.4,Pose31,0,-0.119,-0.344,0.99,-0.646,0.119,0,-0.119,-0.634,1,-0.366,0.119
2.48,Pose32,0,-0.065,-0.293,0.97,-0.677,0.065,0,-0.065,-0.604,1.022,-0.417,0.065
2.56,Pose33,0,-0.019,-0.253,0.948,-0.696,0.019,0,-0.019,-0.579,1.033,-0.453,0.019
2.64,Pose34,0,0.029,-0.204,0.913,-0.709,-0.029,0,0.029,-0.547,1.033,-0.486,-0.029
2.72,Pose35,0,0.094,-0.124,0.838,-0.714,-0.094,0,0.094,-0.489,1.014,-0.525,-0.094
2.8,Pose36,0,0.126,-0.096,0.828,-0.733,-0.126,0,0.12,-0.451,0.993,-0.542,-0.125
2.88,Pose37,0,0.153,-0.142,0.934,-0.792,-0.153,0,0.108,-0.424,0.983,-0.559,-0.147
2.96,Pose38,0,0.186,-0.337,1.196,-0.859,-0.186,0,0.117,-0.412,0.99,-0.578,-0.169
3.04,Pose39,0,0.199,-0.508,1.335,-0.827,-0.199,0,0.124,-0.42,1.008,-0.589,-0.177
3.12,Pose40,0,0.201,-0.661,1.384,-0.722,-0.201,0,0.126,-0.432,1.03,-0.599,-0.178
3.2,Pose41,0,0.184,-0.763,1.278,-0.515,-0.184,0,0.117,-0.435,1.047,-0.612,-0.17
3.28,Pose42,0,0.164,-0.739,1.148,-0.409,-0.164,0,0.105,-0.418,1.038,-0.62,-0.157
3.36,Pose43,0,0.14,-0.683,1.039,-0.356,-0.14,0,0.122,-0.387,1.017,-0.63,-0.139
3.44,Pose44,0,0.099,-0.628,1.006,-0.378,-0.099,0,0.099,-0.334,0.988,-0.654,-0.099
3.52,Pose45,0,0.062,-0.608,1.022,-0.414,-0.062,0,0.062,-0.299,0.974,-0.675,-0.062
3.6,Pose46,0,-0.007,-0.566,1.034,-0.468,0.007,0,-0.007,-0.233,0.935,-0.702,0.007
3.68,Pose47,0,-0.055,-0.53,1.029,-0.499,0.055,0,-0.055,-0.181,0.892,-0.712,0.055
3.76,Pose48,0,-0.095,-0.49,1.014,-0.524,0.095,0,-0.095,-0.126,0.839,-0.714,0.095
3.84,Pose49,0,-0.121,-0.452,0.993,-0.541,0.126,0,-0.127,-0.097,0.83,-0.732,0.127
3.92,Pose50,0,-0.105,-0.417,0.982,-0.565,0.157,0,-0.166,-0.194,1.018,-0.824,0.166
